REGION,CÓDIGO DANE DEL DEPARTAMENTO,DEPARTAMENTO,CÓDIGO DANE DEL MUNICIPIO,MUNICIPIO
Región Eje Cafetero - Antioquia,5,Antioquia,5001,Medellín
Región Eje Cafetero - Antioquia,5,Antioquia,5002,Abejorral
Región Eje Cafetero - Antioquia,5,Antioquia,5004,Abriaquí
Región Eje Cafetero - Antioquia,5,Antioquia,5021,Alejandría
Región Eje Cafetero - Antioquia,5,Antioquia,5030,Amagá
Región Eje Cafetero - Antioquia,5,Antioquia,5031,Amalfi
Región Eje Cafetero - Antioquia,5,Antioquia,5034,Andes
Región Eje Cafetero - Antioquia,5,Antioquia,5036,Angelópolis
Región Eje Cafetero - Antioquia,5,Antioquia,5038,Angostura
Región Eje Cafetero - Antioquia,5,Antioquia,5040,Anorí
Región Centro Oriente,15,Boyacá,15832,Tununguá
Región Eje Cafetero - Antioquia,5,Antioquia,5044,Anza
Región Eje Cafetero - Antioquia,5,Antioquia,5045,Apartadó
Región Eje Cafetero - Antioquia,5,Antioquia,5051,Arboletes
Región Eje Cafetero - Antioquia,5,Antioquia,5055,Argelia
Región Eje Cafetero - Antioquia,5,Antioquia,5059,Armenia
Región Eje Cafetero - Antioquia,5,Antioquia,5079,Barbosa
Región Eje Cafetero - Antioquia,5,Antioquia,5088,Bello
Región Eje Cafetero - Antioquia,5,Antioquia,5091,Betania
Región Eje Cafetero - Antioquia,5,Antioquia,5093,Betulia
Región Eje Cafetero - Antioquia,5,Antioquia,5101,Ciudad Bolívar
Región Eje Cafetero - Antioquia,5,Antioquia,5107,Briceño
Región Eje Cafetero - Antioquia,5,Antioquia,5113,Buriticá
Región Eje Cafetero - Antioquia,5,Antioquia,5120,Cáceres
Región Eje Cafetero - Antioquia,5,Antioquia,5125,Caicedo
Región Eje Cafetero - Antioquia,5,Antioquia,5129,Caldas
Región Eje Cafetero - Antioquia,5,Antioquia,5134,Campamento
Región Eje Cafetero - Antioquia,5,Antioquia,5138,Cañasgordas
Región Eje Cafetero - Antioquia,5,Antioquia,5142,Caracolí
Región Eje Cafetero - Antioquia,5,Antioquia,5145,Caramanta
Región Eje Cafetero - Antioquia,5,Antioquia,5147,Carepa
