Fecha	Concepto
2020-06-29	BAJO
2020-06-30	BAJO
2020-07-01	BAJO
2020-07-02	BAJO
2020-07-06	BAJO
2020-07-07	BAJO
2020-07-08	BAJO
2020-07-09	BAJO
2020-07-10	MEDIO
2020-07-13	BAJO
2020-07-14	MEDIO
2020-07-15	MEDIO
2020-07-16	MEDIO
2020-07-17	MEDIO
2020-07-20	MEDIO
2020-07-21	MEDIO
2020-07-22	MEDIO
2020-07-23	MEDIO
2020-07-24	BAJO
2020-07-27	MEDIO
2020-07-28	BAJO
2020-07-29	BAJO
2020-07-30	BAJO
2020-07-31	BAJO
2020-08-03	BAJO
2020-08-04	BAJO
2020-08-05	BAJO
2020-08-06	BAJO
2020-08-07	BAJO
2020-08-10	BAJO
2020-08-11	BAJO
2020-08-12	MEDIO
2020-08-13	MEDIO
2020-08-14	MEDIO
2020-08-17	MEDIO
2020-08-18	MEDIO
2020-08-19	MEDIO
2020-08-20	MEDIO
2020-08-21	MEDIO
2020-08-24	MEDIO
2020-08-25	MEDIO
2020-08-26	MEDIO
2020-08-27	MEDIO
2020-08-28	MEDIO
2020-08-31	MEDIO
2020-09-01	MEDIO
2020-09-02	MEDIO
2020-09-03	MEDIO
2020-09-04	MEDIO
2020-09-08	MEDIO
2020-09-09	MEDIO
2020-09-10	MEDIO
2020-09-11	MEDIO
2020-09-14	MEDIO
2020-09-15	MEDIO
2020-09-16	MEDIO
2020-09-17	MEDIO
2020-09-18	MEDIO
2020-09-21	MEDIO
2020-09-22	MEDIO
2020-09-23	MEDIO
2020-09-24	MEDIO
2020-09-25	MEDIO
2020-09-28	MEDIO
2020-09-29	MEDIO
2020-09-30	MEDIO
2020-10-01	MEDIO
2020-10-02	MEDIO
2020-10-05	MEDIO
2020-10-06	MEDIO
2020-10-07	MEDIO
2020-10-08	MEDIO
2020-10-09	MEDIO
2020-10-12	MEDIO
2020-10-13	MEDIO
2020-10-14	MEDIO
2020-10-15	MEDIO
2020-10-16	MEDIO
2020-10-19	MEDIO
2020-10-20	MEDIO
2020-10-21	MEDIO
2020-10-22	MEDIO
2020-10-23	MEDIO
2020-10-26	MEDIO
2020-10-27	MEDIO
2020-10-28	MEDIO
2020-10-29	MEDIO
2020-10-30	MEDIO
2020-11-02	MEDIO
2020-11-03	MEDIO
2020-11-04	MEDIO
2020-11-05	MEDIO
2020-11-06	MEDIO
2020-11-09	MEDIO
2020-11-10	MEDIO
2020-11-11	MEDIO
2020-11-12	MEDIO
2020-11-13	MEDIO
2020-11-16	MEDIO
2020-11-17	MEDIO
2020-11-18	MEDIO
2020-11-19	MEDIO
2020-11-20	MEDIO
2020-11-23	ALTO
2020-11-24	ALTO
2020-11-25	ALTO
2020-11-27	ALTO
2020-11-30	ALTO
2020-12-01	ALTO
2020-12-02	ALTO
2020-12-03	ALTO
2020-12-04	ALTO
2020-12-07	MUY ALTO
2020-12-08	MUY ALTO
2020-12-09	MUY ALTO
2020-12-10	MUY ALTO
2020-12-11	MUY ALTO
2020-12-14	MUY ALTO
2020-12-15	MUY ALTO
2020-12-16	MUY ALTO
2020-12-17	MUY ALTO
2020-12-18	MUY ALTO
2020-12-21	MUY ALTO
2020-12-22	MUY ALTO
2020-12-23	MUY ALTO
2020-12-24	MUY ALTO
2020-12-28	MUY ALTO
2020-12-29	MUY ALTO
2020-12-30	MUY ALTO
2020-12-31	MUY ALTO
2021-01-04	MUY ALTO
2021-01-05	MUY ALTO
2021-01-06	MUY ALTO
2021-01-07	MUY ALTO
2021-01-08	MUY ALTO
2021-01-11	MUY ALTO
2021-01-12	MUY ALTO
2021-01-13	MUY ALTO
2021-01-14	MUY ALTO
2021-01-15	MUY ALTO
2021-01-19	MUY ALTO
2021-01-20	MUY ALTO
2021-01-21	MUY ALTO
2021-01-22	MUY ALTO
2021-01-25	MUY ALTO
2021-01-26	MUY ALTO
2021-01-27	MUY ALTO
2021-01-28	MUY ALTO
2021-01-29	MUY ALTO
2021-02-01	MUY ALTO
2021-02-02	MUY ALTO
2021-02-03	MUY ALTO
2021-02-04	MUY ALTO
2021-02-05	MUY ALTO
2021-02-08	MUY ALTO
2021-02-09	MUY ALTO
2021-02-10	MUY ALTO
2021-02-11	MUY ALTO
2021-02-12	MUY ALTO
2021-02-16	MUY ALTO
2021-02-17	MUY ALTO
2021-02-18	MUY ALTO
2021-02-19	MUY ALTO
2021-02-22	MUY ALTO
2021-02-23	MUY ALTO
2021-02-24	MUY ALTO
2021-02-25	MUY ALTO
2021-02-26	MUY ALTO
2021-03-01	MUY ALTO
2021-03-02	MUY ALTO
2021-03-03	MUY ALTO
2021-03-04	MUY ALTO
2021-03-05	ALTO
2021-03-08	ALTO
2021-03-09	MUY ALTO
2021-03-10	MUY ALTO
2021-03-11	MUY ALTO
2021-03-12	MUY ALTO
2021-03-15	MUY ALTO
2021-03-16	MUY ALTO
2021-03-17	MUY ALTO
2021-03-18	MUY ALTO
2021-03-19	MUY ALTO
2021-03-22	MUY ALTO
2021-03-23	MUY ALTO
2021-03-24	MUY ALTO
2021-03-25	MUY ALTO
2021-03-26	MUY ALTO
2021-03-29	MUY ALTO
2021-03-30	MUY ALTO
2021-03-31	MUY ALTO
2021-04-01	MUY ALTO
2021-04-05	MUY ALTO
2021-04-06	MUY ALTO
2021-04-07	MUY ALTO
2021-04-08	MUY ALTO
2021-04-09	MUY ALTO
2021-04-12	MUY ALTO
2021-04-13	MUY ALTO
2021-04-14	MUY ALTO
2021-04-15	MUY ALTO
2021-04-16	MUY ALTO
2021-04-19	MUY ALTO
2021-04-20	MUY ALTO
2021-04-21	MUY ALTO
2021-04-22	MUY ALTO
2021-04-23	MUY ALTO
2021-04-26	MUY ALTO
2021-04-27	MUY ALTO
2021-04-28	MUY ALTO
2021-04-29	MUY ALTO
2021-04-30	MUY ALTO
2021-05-03	MUY ALTO
2021-05-04	MUY ALTO
2021-05-05	MUY ALTO
2021-05-06	MUY ALTO
2021-05-07	MUY ALTO
2021-05-10	MUY ALTO
2021-05-11	MUY ALTO
2021-05-12	ALTO
2021-05-13	ALTO
2021-05-14	ALTO
2021-05-17	ALTO
2021-05-18	ALTO
2021-05-19	ALTO
2021-05-20	ALTO
2021-05-21	ALTO
2021-05-24	MUY ALTO
2021-05-25	MUY ALTO
2021-05-26	MUY ALTO
2021-05-27	MUY ALTO
2021-05-28	MUY ALTO
2021-06-01	MUY ALTO
2021-06-02	MUY ALTO
2021-06-03	ALTO
2021-06-04	ALTO
2021-06-07	MUY ALTO
2021-06-08	MUY ALTO
2021-06-09	ALTO
2021-06-10	MUY ALTO
2021-06-11	MUY ALTO
2021-06-14	MUY ALTO
2021-06-15	ALTO
2021-06-16	MUY ALTO
2021-06-17	MUY ALTO
2021-06-18	MUY ALTO
2021-06-21	MUY ALTO
2021-06-22	MUY ALTO
2021-06-23	MUY ALTO
2021-06-24	MUY ALTO
2021-06-25	MUY ALTO
